,year,region,total_of_accidents,total_of_dead,total_of_injured,driving_licese,latitude,longitude
104,2001,Al-Baha,,,,7594,20.1484058503,41.4665484892
105,2001,Al-Jouf,,,,4756,29.9677445762,39.5570371172
106,2001,Al-Qaseem,,,,14718,26.1967063704,43.3429998455
107,2001,Assir,,,,20321,19.1387847401,42.941470036
108,2001,Eastern,,,,74119,23.2883307307,50.1478302439
109,2001,Hail,,,,6077,27.400845724,41.4406960508
110,2001,Jazan,,,,10631,17.2072313962,42.6525807422
111,2001,Madinah,,,,13561,24.927534539,39.4918237173
112,2001,Makkah,,,,85593,21.628962766,41.2636898334
113,2001,Najran,,,,4950,18.4511003068,46.8688495726
114,2001,Northern Boarder,,,,2971,30.197074783,41.8171186952
115,2001,Riyadh,,,,13090,23.0814341634,45.5857512766
116,2001,Tabouk,,,,6344,27.90165499,37.2598581394
117,2002,Al-Baha,,,,3335,20.1484058503,41.4665484892
118,2002,Al-Jouf,,,,5940,29.9677445762,39.5570371172
119,2002,Al-Qaseem,,,,16298,26.1967063704,43.3429998455
120,2002,Assir,,,,20417,19.1387847401,42.941470036
121,2002,Eastern,,,,85035,23.2883307307,50.1478302439
122,2002,Hail,,,,5070,27.400845724,41.4406960508
123,2002,Jazan,,,,5254,17.2072313962,42.6525807422
124,2002,Madinah,,,,10494,24.927534539,39.4918237173
125,2002,Makkah,,,,88593,21.628962766,41.2636898334
126,2002,Najran,,,,5117,18.4511003068,46.8688495726
127,2002,Northern Boarder,,,,2268,30.197074783,41.8171186952
128,2002,Riyadh,,,,25423,23.0814341634,45.5857512766
129,2002,Tabouk,,,,8794,27.90165499,37.2598581394
130,2003,Al-Baha,,,,3616,20.1484058503,41.4665484892
131,2003,Al-Jouf,,,,3852,29.9677445762,39.5570371172
132,2003,Al-Qaseem,,,,10666,26.1967063704,43.3429998455
133,2003,Assir,,,,15693,19.1387847401,42.941470036
134,2003,Eastern,,,,82697,23.2883307307,50.1478302439
135,2003,Hail,,,,3861,27.400845724,41.4406960508
136,2003,Jazan,,,,5220,17.2072313962,42.6525807422
137,2003,Madinah,,,,12920,24.927534539,39.4918237173
138,2003,Makkah,,,,74236,21.628962766,41.2636898334
139,2003,Najran,,,,4443,18.4511003068,46.8688495726
140,2003,Northern Boarder,,,,1705,30.197074783,41.8171186952
141,2003,Riyadh,,,,26076,23.0814341634,45.5857512766
142,2003,Tabouk,,,,9873,27.90165499,37.2598581394
143,2004,Al-Baha,,,,3410,20.1484058503,41.4665484892
144,2004,Al-Jouf,,,,4601,29.9677445762,39.5570371172
145,2004,Al-Qaseem,,,,9390,26.1967063704,43.3429998455
146,2004,Assir,,,,17947,19.1387847401,42.941470036
147,2004,Eastern,,,,84984,23.2883307307,50.1478302439
148,2004,Hail,,,,8656,27.400845724,41.4406960508
149,2004,Jazan,,,,5016,17.2072313962,42.6525807422
150,2004,Madinah,,,,10556,24.927534539,39.4918237173
151,2004,Makkah,,,,86636,21.628962766,41.2636898334
152,2004,Najran,,,,4609,18.4511003068,46.8688495726
153,2004,Northern Boarder,,,,1922,30.197074783,41.8171186952
154,2004,Riyadh,,,,23479,23.0814341634,45.5857512766
155,2004,Tabouk,,,,7532,27.90165499,37.2598581394
156,2005,Al-Baha,,,,2698,20.1484058503,41.4665484892
157,2005,Al-Jouf,,,,3558,29.9677445762,39.5570371172
158,2005,Al-Qaseem,,,,10480,26.1967063704,43.3429998455
159,2005,Assir,,,,18565,19.1387847401,42.941470036
160,2005,Eastern,,,,82505,23.2883307307,50.1478302439
161,2005,Hail,,,,16247,27.400845724,41.4406960508
162,2005,Jazan,,,,5502,17.2072313962,42.6525807422
163,2005,Madinah,,,,10210,24.927534539,39.4918237173
164,2005,Makkah,,,,65099,21.628962766,41.2636898334
165,2005,Najran,,,,4779,18.4511003068,46.8688495726
166,2005,Northern Boarder,,,,1804,30.197074783,41.8171186952
167,2005,Riyadh,,,,23245,23.0814341634,45.5857512766
168,2005,Tabouk,,,,6511,27.90165499,37.2598581394
169,2006,Al-Baha,,,,3593,20.1484058503,41.4665484892
170,2006,Al-Jouf,,,,4846,29.9677445762,39.5570371172
171,2006,Al-Qaseem,,,,12142,26.1967063704,43.3429998455
172,2006,Assir,,,,20330,19.1387847401,42.941470036
173,2006,Eastern,,,,79517,23.2883307307,50.1478302439
174,2006,Hail,,,,8166,27.400845724,41.4406960508
175,2006,Jazan,,,,7955,17.2072313962,42.6525807422
176,2006,Madinah,,,,11204,24.927534539,39.4918237173
177,2006,Makkah,,,,66967,21.628962766,41.2636898334
178,2006,Najran,,,,5897,18.4511003068,46.8688495726
179,2006,Northern Boarder,,,,2573,30.197074783,41.8171186952
180,2006,Riyadh,,,,36059,23.0814341634,45.5857512766
181,2006,Tabouk,,,,8259,27.90165499,37.2598581394
182,2007,Al-Baha,,,,997,20.1484058503,41.4665484892
183,2007,Al-Jouf,,,,9097,29.9677445762,39.5570371172
184,2007,Al-Qaseem,,,,25174,26.1967063704,43.3429998455
185,2007,Assir,,,,10835,19.1387847401,42.941470036
186,2007,Eastern,,,,106511,23.2883307307,50.1478302439
187,2007,Hail,,,,4021,27.400845724,41.4406960508
188,2007,Jazan,,,,12634,17.2072313962,42.6525807422
189,2007,Madinah,,,,12174,24.927534539,39.4918237173
190,2007,Makkah,,,,91902,21.628962766,41.2636898334
191,2007,Najran,,,,7226,18.4511003068,46.8688495726
192,2007,Northern Boarder,,,,3479,30.197074783,41.8171186952
